0	1	2	3	4	5	6	7	8
92.26	61.0	167.0	1023.0	1023.0	0.0	340.0	0.0	340.0
92.28	61.0	169.0	1023.0	1023.0	0.0	318.0	0.0	318.0
92.3	58.0	158.0	1023.0	1023.0	0.0	371.0	0.0	371.0
92.32	63.0	178.0	1023.0	1023.0	0.0	300.0	0.0	300.0
92.34	61.0	168.0	1023.0	1023.0	0.0	345.0	0.0	345.0
92.36	59.0	165.0	1023.0	1023.0	0.0	347.0	0.0	347.0
92.38	62.0	172.0	1023.0	1023.0	0.0	333.0	0.0	333.0
92.4	58.0	165.0	1023.0	1023.0	0.0	338.0	0.0	338.0
92.42	63.0	175.0	1023.0	1023.0	0.0	342.0	0.0	342.0
92.44	60.0	166.0	1023.0	1023.0	0.0	364.0	0.0	364.0
92.46	59.0	166.0	1023.0	1023.0	0.0	357.0	0.0	357.0
92.48	60.0	171.0	1023.0	1023.0	0.0	334.0	0.0	334.0
92.5	58.0	162.0	1023.0	1023.0	0.0	377.0	0.0	377.0
92.52	65.0	182.0	1023.0	1023.0	0.0	325.0	0.0	325.0
92.54	59.0	163.0	1023.0	1023.0	0.0	381.0	0.0	381.0
92.56	62.0	174.0	1023.0	1023.0	0.0	344.0	0.0	344.0
92.58	63.0	175.0	1023.0	1023.0	0.0	355.0	0.0	355.0
92.6	59.0	164.0	1023.0	1023.0	0.0	364.0	0.0	364.0
92.62	63.0	174.0	1023.0	1023.0	0.0	355.0	0.0	355.0
92.64	60.0	167.0	1023.0	1023.0	0.0	348.0	0.0	348.0
92.66	62.0	171.0	1023.0	1023.0	0.0	349.0	0.0	349.0
92.68	63.0	174.0	1023.0	1023.0	0.0	327.0	0.0	327.0
92.7	58.0	160.0	1023.0	1023.0	0.0	364.0	0.0	364.0
92.72	65.0	180.0	1023.0	1023.0	0.0	317.0	0.0	317.0
92.74	61.0	166.0	1023.0	1023.0	0.0	366.0	0.0	366.0
92.76	59.0	163.0	1023.0	1023.0	0.0	337.0	0.0	337.0
92.78	64.0	174.0	1023.0	1023.0	0.0	328.0	0.0	328.0
92.8	60.0	165.0	1023.0	1023.0	0.0	351.0	0.0	351.0
92.82	66.0	180.0	1023.0	1023.0	0.0	309.0	0.0	309.0
92.84	59.0	162.0	1023.0	1023.0	0.0	346.0	0.0	346.0
92.86	62.0	168.0	1023.0	1023.0	0.0	323.0	0.0	323.0
92.88	64.0	177.0	1023.0	1023.0	0.0	301.0	0.0	301.0
92.9	57.0	155.0	1023.0	1023.0	0.0	365.0	0.0	365.0
92.92	65.0	177.0	1023.0	1023.0	0.0	319.0	0.0	319.0
92.94	61.0	165.0	1023.0	1023.0	0.0	343.0	0.0	343.0
92.96	62.0	169.0	1023.0	1023.0	0.0	332.0	0.0	332.0
92.98	63.0	171.0	1023.0	1023.0	0.0	321.0	0.0	321.0
93.0	58.0	159.0	1023.0	1023.0	0.0	339.0	0.0	339.0
93.02	65.0	177.0	1023.0	1023.0	0.0	312.0	0.0	312.0
93.04	59.0	162.0	1023.0	1023.0	0.0	344.0	0.0	344.0
93.06	61.0	168.0	1023.0	1023.0	0.0	329.0	0.0	329.0
93.08	65.0	178.0	1023.0	1023.0	0.0	294.0	0.0	294.0
93.1	62.0	169.0	1023.0	1023.0	0.0	333.0	0.0	333.0
93.12	65.0	180.0	1023.0	1023.0	0.0	292.0	0.0	292.0
93.14	63.0	171.0	1023.0	1023.0	0.0	305.0	0.0	305.0
93.16	63.0	175.0	1023.0	1023.0	0.0	301.0	0.0	301.0
93.18	64.0	172.0	1023.0	1023.0	0.0	304.0	0.0	304.0
93.2	62.0	168.0	1023.0	1023.0	0.0	308.0	0.0	308.0
93.22	64.0	174.0	1023.0	1023.0	0.0	292.0	0.0	292.0
93.24	59.0	160.0	1023.0	1023.0	0.0	330.0	0.0	330.0
93.26	64.0	173.0	1023.0	1023.0	0.0	304.0	0.0	304.0
93.28	67.0	182.0	1023.0	1023.0	0.0	278.0	0.0	278.0
93.3	62.0	166.0	1023.0	1023.0	0.0	316.0	0.0	316.0
93.32	64.0	174.0	1023.0	1023.0	0.0	286.0	0.0	286.0
93.34	64.0	171.0	1023.0	1023.0	0.0	307.0	0.0	307.0
93.36	62.0	168.0	1023.0	1023.0	0.0	308.0	0.0	308.0
93.38	66.0	178.0	1023.0	1023.0	0.0	288.0	0.0	288.0
93.4	61.0	164.0	1023.0	1023.0	0.0	309.0	0.0	309.0
93.42	65.0	176.0	1023.0	1023.0	0.0	277.0	0.0	277.0
93.44	61.0	166.0	1023.0	1023.0	0.0	307.0	0.0	307.0
93.46	65.0	176.0	1023.0	1023.0	0.0	295.0	0.0	295.0
93.48	62.0	169.0	1023.0	1023.0	0.0	301.0	0.0	301.0
93.5	60.0	160.0	1023.0	1023.0	0.0	339.0	0.0	339.0
93.52	66.0	180.0	1023.0	1023.0	0.0	282.0	0.0	282.0
93.54	63.0	171.0	1023.0	1023.0	0.0	328.0	0.0	328.0
